,0
0,singlet
1,singlet
2,singlet
3,singlet
4,singlet
5,singlet
6,singlet
7,singlet
8,singlet
9,singlet
10,singlet
11,singlet
12,singlet
13,singlet
14,singlet
15,singlet
16,singlet
17,singlet
18,singlet
19,singlet
20,singlet
21,singlet
22,singlet
23,singlet
24,singlet
25,singlet
26,singlet
27,singlet
28,singlet
29,singlet
30,singlet
31,singlet
32,singlet
33,singlet
34,singlet
35,singlet
36,singlet
37,singlet
38,singlet
39,singlet
40,singlet
41,singlet
42,singlet
43,singlet
44,singlet
45,singlet
46,singlet
47,singlet
48,singlet
49,singlet
50,singlet
51,singlet
52,singlet
53,singlet
54,singlet
55,singlet
56,singlet
57,singlet
58,singlet
59,singlet
60,singlet
61,singlet
62,singlet
63,singlet
64,singlet
65,singlet
66,singlet
67,singlet
68,singlet
69,singlet
70,singlet
71,singlet
72,singlet
73,singlet
74,singlet
75,singlet
76,singlet
77,singlet
78,singlet
79,singlet
80,singlet
81,singlet
82,singlet
83,singlet
84,singlet
85,singlet
86,singlet
87,singlet
88,singlet
89,singlet
90,singlet
91,singlet
92,singlet
93,singlet
94,singlet
95,singlet
96,singlet
97,singlet
98,singlet
99,singlet
100,singlet
101,singlet
102,singlet
103,singlet
104,singlet
105,singlet
106,singlet
107,singlet
108,singlet
109,singlet
110,singlet
111,singlet
112,singlet
113,singlet
114,singlet
115,singlet
116,singlet
117,singlet
118,singlet
119,singlet
120,singlet
121,singlet
122,singlet
123,singlet
124,singlet
125,singlet
126,singlet
127,singlet
128,singlet
129,singlet
130,singlet
131,singlet
132,singlet
133,singlet
134,singlet
135,singlet
136,singlet
137,singlet
138,singlet
139,singlet
140,singlet
141,singlet
142,singlet
143,singlet
144,singlet
145,singlet
146,singlet
147,singlet
148,singlet
149,singlet
150,singlet
151,singlet
152,singlet
153,singlet
154,singlet
155,singlet
156,singlet
157,singlet
158,singlet
159,singlet
160,singlet
161,singlet
162,singlet
163,singlet
164,singlet
165,singlet
166,singlet
167,singlet
168,singlet
169,singlet
170,singlet
171,singlet
172,singlet
173,singlet
174,singlet
175,singlet
176,singlet
177,singlet
178,singlet
179,singlet
180,singlet
181,singlet
182,singlet
183,singlet
184,singlet
185,singlet
186,singlet
187,singlet
188,singlet
189,singlet
190,singlet
191,singlet
192,singlet
193,singlet
194,singlet
195,singlet
196,singlet
197,singlet
198,singlet
199,singlet
200,singlet
201,singlet
202,singlet
203,singlet
204,singlet
205,singlet
206,singlet
207,singlet
208,singlet
209,singlet
210,singlet
211,singlet
212,singlet
213,singlet
214,singlet
215,singlet
216,singlet
217,singlet
218,singlet
219,singlet
220,singlet
221,singlet
222,singlet
223,singlet
224,singlet
225,singlet
226,singlet
227,singlet
228,singlet
229,singlet
230,singlet
231,singlet
232,singlet
233,singlet
234,singlet
235,singlet
236,singlet
237,singlet
238,singlet
239,singlet
240,singlet
241,singlet
242,singlet
243,singlet
244,singlet
245,singlet
246,singlet
247,singlet
248,singlet
249,singlet
250,singlet
251,singlet
252,singlet
253,singlet
254,singlet
255,singlet
256,singlet
257,singlet
258,singlet
259,singlet
260,singlet
261,singlet
262,singlet
263,singlet
264,singlet
265,singlet
266,singlet
267,singlet
268,singlet
269,singlet
270,singlet
271,singlet
272,singlet
273,singlet
274,singlet
275,singlet
276,singlet
277,singlet
278,singlet
279,singlet
280,singlet
281,singlet
282,singlet
283,singlet
284,singlet
285,singlet
286,singlet
287,singlet
288,singlet
289,singlet
290,singlet
291,singlet
292,singlet
293,singlet
294,singlet
295,singlet
296,singlet
297,singlet
298,singlet
299,singlet
300,singlet
301,singlet
302,singlet
303,singlet
304,singlet
305,singlet
306,singlet
307,singlet
308,singlet
309,singlet
310,singlet
311,singlet
312,singlet
313,singlet
314,singlet
315,singlet
316,singlet
317,singlet
318,singlet
319,singlet
320,singlet
321,singlet
322,singlet
323,singlet
324,singlet
325,singlet
326,singlet
327,singlet
328,singlet
329,singlet
330,singlet
331,singlet
332,singlet
333,singlet
334,singlet
335,singlet
336,singlet
337,singlet
338,singlet
339,singlet
340,singlet
341,singlet
342,singlet
343,singlet
344,singlet
345,singlet
346,singlet
347,singlet
348,singlet
349,singlet
350,singlet
351,singlet
352,singlet
353,singlet
354,singlet
355,singlet
356,singlet
357,singlet
358,singlet
359,singlet
360,singlet
361,singlet
362,singlet
363,singlet
364,singlet
365,singlet
366,singlet
367,singlet
368,singlet
369,singlet
370,singlet
371,singlet
372,singlet
373,singlet
374,singlet
375,singlet
376,singlet
377,singlet
378,singlet
379,singlet
380,singlet
381,singlet
382,singlet
383,singlet
384,singlet
385,singlet
386,singlet
387,singlet
388,singlet
389,singlet
390,singlet
391,singlet
392,singlet
393,singlet
394,singlet
395,singlet
396,singlet
397,singlet
398,singlet
399,singlet
400,singlet
401,singlet
402,singlet
403,singlet
404,singlet
405,singlet
406,singlet
407,singlet
408,singlet
409,singlet
410,singlet
411,singlet
412,singlet
413,singlet
414,singlet
415,singlet
416,singlet
417,singlet
418,singlet
419,singlet
420,singlet
421,singlet
422,singlet
423,singlet
424,singlet
425,singlet
426,singlet
427,singlet
428,singlet
429,singlet
430,singlet
431,singlet
432,singlet
433,singlet
434,singlet
435,singlet
436,singlet
437,singlet
438,singlet
439,singlet
440,singlet
441,singlet
442,singlet
443,singlet
444,singlet
445,singlet
446,singlet
447,singlet
448,singlet
449,singlet
450,singlet
451,singlet
452,singlet
453,singlet
454,singlet
455,singlet
456,singlet
457,singlet
458,singlet
459,singlet
460,singlet
461,singlet
462,singlet
463,singlet
464,singlet
465,singlet
466,singlet
467,singlet
468,singlet
469,singlet
470,singlet
471,singlet
472,singlet
473,singlet
474,singlet
475,singlet
476,singlet
477,singlet
478,singlet
479,singlet
480,singlet
481,singlet
482,singlet
483,singlet
484,singlet
485,singlet
486,singlet
487,singlet
488,singlet
489,singlet
490,singlet
491,singlet
492,singlet
493,singlet
494,singlet
495,singlet
496,singlet
497,singlet
498,singlet
499,singlet
500,singlet
501,singlet
502,singlet
503,singlet
504,singlet
505,singlet
506,singlet
507,singlet
508,singlet
509,singlet
510,singlet
511,singlet
512,singlet
513,singlet
514,singlet
515,singlet
516,singlet
517,singlet
518,singlet
519,singlet
520,singlet
521,singlet
522,singlet
523,singlet
524,singlet
525,singlet
526,singlet
527,singlet
528,singlet
529,singlet
530,singlet
531,singlet
532,singlet
533,singlet
534,singlet
535,singlet
536,singlet
537,singlet
538,singlet
539,singlet
540,singlet
541,singlet
542,singlet
543,singlet
544,singlet
545,singlet
546,singlet
547,singlet
548,singlet
549,singlet
550,singlet
551,singlet
552,singlet
553,singlet
554,singlet
555,singlet
556,singlet
557,singlet
558,singlet
559,singlet
560,singlet
561,singlet
562,singlet
563,singlet
564,singlet
565,singlet
566,singlet
567,singlet
568,singlet
569,singlet
570,singlet
571,singlet
572,singlet
573,singlet
574,singlet
575,singlet
