,0
0,0
1,2
2,0
3,4
4,5
5,0
6,0
7,3
8,3
9,4
10,2
11,0
12,0
13,1
14,3
15,0
16,1
17,0
18,2
19,2
20,2
21,0
22,1
23,2
24,0
25,0
26,4
27,0
28,0
29,4
30,3
31,2
32,1
33,3
34,1
35,0
36,1
37,4
38,0
39,5
40,3
41,3
42,0
43,0
44,0
45,0
46,0
47,1
48,0
49,4
50,4
51,4
52,4
53,0
54,0
55,2
56,1
57,0
58,1
59,4
60,0
61,0
62,5
63,4
64,0
65,4
66,0
67,0
68,0
69,0
70,0
71,5
72,0
73,5
74,0
75,2
76,0
77,0
78,0
79,1
80,1
81,3
82,4
83,0
84,1
85,2
86,0
87,0
88,2
89,2
90,0
91,1
92,2
93,2
94,1
95,1
96,0
97,1
98,1
99,6
100,5
101,1
102,0
103,3
104,5
105,2
106,3
107,2
108,0
109,6
110,1
111,0
112,0
113,0
114,1
115,4
116,0
117,2
118,4
119,0
120,3
121,1
122,2
123,3
124,0
125,0
126,1
127,2
128,5
129,0
130,0
131,0
132,0
133,3
134,2
135,4
136,0
137,0
138,0
139,2
140,0
141,3
142,5
143,2
144,3
145,3
146,2
147,0
148,1
149,5
150,3
151,0
152,0
153,0
154,1
155,0
156,0
157,5
158,3
159,1
160,2
161,6
162,2
163,1
164,3
165,2
166,0
167,0
168,3
169,0
170,0
171,0
172,0
173,1
174,0
175,6
176,0
177,0
178,2
179,2
180,4
181,2
182,0
183,4
184,1
185,5
186,5
187,0
188,1
189,0
190,2
191,0
192,2
193,3
194,5
195,3
196,3
197,5
198,3
199,3
200,1
201,3
202,3
203,0
204,0
205,4
206,4
207,0
208,3
209,5
210,0
211,3
212,3
213,3
214,0
215,1
216,1
217,0
218,2
219,0
220,0
221,1
222,0
223,0
224,0
225,0
226,0
227,3
228,0
229,0
230,0
231,2
232,4
233,0
234,1
235,0
236,0
237,0
238,3
239,4
240,0
241,2
242,1
243,0
244,7
245,1
246,0
247,1
248,0
249,2
250,0
251,6
252,0
253,2
254,1
255,4
256,0
257,2
258,2
259,4
260,0
261,0
262,0
263,3
264,4
265,5
266,1
267,1
268,4
269,5
270,7
271,0
272,2
273,4
274,0
275,2
276,0
277,6
278,0
279,0
280,2
281,2
282,5
283,1
284,0
285,0
286,3
287,5
288,2
289,4
290,1
291,0
292,0
293,4
294,0
295,2
296,3
297,0
298,0
299,5
300,5
301,4
302,1
303,2
304,0
305,0
306,0
307,0
308,3
309,0
310,3
311,1
312,2
313,2
314,0
315,0
316,0
317,2
318,0
319,1
320,0
321,1
322,4
323,5
324,1
325,2
326,6
327,0
328,4
329,5
330,0
331,3
332,0
333,0
334,3
335,1
336,5
337,2
338,1
339,0
340,3
341,1
342,0
343,0
344,0
345,0
346,3
347,0
348,3
349,0
350,0
351,2
352,1
353,0
354,1
355,1
356,0
357,0
358,0
359,3
360,4
361,2
362,3
363,5
364,5
365,3
366,2
367,1
368,0
369,0
370,6
371,4
372,0
373,3
374,5
375,0
376,2
377,2
378,1
379,0
380,4
381,1
382,0
383,0
384,1
385,2
386,0
387,1
388,5
389,2
390,0
391,0
392,0
393,3
394,0
395,0
396,0
397,1
398,1
399,0
400,3
401,0
402,2
403,1
404,4
405,3
406,0
407,2
408,2
409,0
410,4
411,2
412,0
413,1
414,4
415,0
416,0
417,0
418,3
419,2
420,5
421,0
422,2
423,3
424,1
425,1
426,2
427,2
428,4
429,0
430,1
431,1
432,5
433,0
434,0
435,0
436,0
437,6
438,0
439,0
440,2
441,1
442,0
443,1
444,3
445,4
446,0
447,3
448,0
449,0
450,0
451,0
452,0
453,4
454,2
455,5
456,0
457,0
458,0
459,5
460,0
461,0
462,0
463,0
464,0
465,3
466,0
467,1
468,0
469,0
470,4
471,0
472,4
473,0
474,0
475,0
476,0
477,3
478,2
479,0
480,4
481,3
482,0
483,0
484,0
485,0
486,0
487,5
488,2
489,5
490,0
491,3
492,0
493,0
494,0
495,0
496,5
497,0
498,3
499,3
500,0
501,0
502,1
503,0
504,2
505,1
506,3
507,1
508,2
509,3
510,4
511,0
512,0
513,2
514,1
515,1
516,0
517,0
518,0
519,5
520,2
521,0
522,0
523,0
524,0
525,2
526,3
527,0
528,4
529,4
530,0
531,5
532,0
533,0
534,3
535,0
536,0
537,0
538,0
539,0
540,1
541,4
542,0
543,3
544,7
545,4
546,0
547,0
548,1
549,0
550,1
551,0
552,0
553,1
554,3
555,0
556,0
557,3
558,0
559,5
560,0
561,2
562,0
563,1
564,0
565,0
566,0
567,0
568,0
569,2
570,4
571,0
572,2
573,0
574,0
575,1
576,0
577,1
578,6
579,5
580,6
581,1
582,0
583,1
584,0
585,0
586,0
587,1
588,1
589,2
590,2
591,1
592,1
593,4
594,5
595,0
596,0
597,2
598,0
599,0
600,1
601,1
602,0
603,0
604,0
605,1
606,0
607,1
608,3
609,0
610,0
611,4
612,0
613,0
614,0
615,0
616,1
617,1
618,0
619,0
620,0
621,1
622,4
623,0
624,0
625,3
626,3
627,0
628,2
629,7
630,3
631,2
632,4
633,0
634,1
635,4
636,5
637,2
638,2
639,2
640,2
641,3
642,1
643,0
644,3
645,4
646,2
647,3
648,0
649,2
650,1
651,0
652,2
653,0
654,0
655,0
656,1
657,1
658,1
659,1
660,0
661,2
662,0
663,1
664,1
665,1
666,3
667,0
668,0
669,4
670,0
671,0
672,4
673,0
674,3
675,5
676,3
677,0
678,3
679,2
680,2
681,2
682,5
683,2
684,4
685,0
686,0
687,2
688,0
689,0
690,5
691,0
692,0
693,0
694,0
695,5
696,1
697,2
698,0
699,2
700,0
701,1
702,2
703,0
704,0
705,1
706,1
707,1
708,0
709,2
710,0
711,0
712,3
713,2
714,0
715,5
716,2
717,5
718,0
719,0
720,0
721,0
722,6
723,3
724,1
725,0
726,0
727,1
728,3
729,1
730,0
731,0
732,1
733,0
734,0
735,5
736,3
737,0
738,1
739,4
740,0
741,0
742,0
743,0
744,7
745,1
746,5
747,0
748,1
749,4
750,1
751,0
752,3
753,0
754,0
755,0
756,0
757,0
758,0
759,4
760,1
761,0
762,4
763,2
764,2
765,2
766,6
767,0
768,0
769,4
770,0
771,0
772,0
773,5
774,4
775,0
776,4
777,0
778,1
779,0
780,2
781,3
782,3
783,1
784,0
785,0
786,1
787,0
788,0
789,1
790,1
791,0
792,0
793,4
794,1
795,3
796,1
797,3
798,1
799,0
800,2
801,2
802,4
803,3
804,0
805,3
806,0
807,2
808,5
809,2
810,1
811,1
812,1
813,0
814,5
815,0
816,0
817,0
818,5
819,3
820,0
821,0
822,1
823,4
824,0
825,0
826,3
827,0
828,0
829,0
830,0
831,0
832,1
833,3
834,4
835,0
836,1
837,3
838,0
839,0
840,0
841,5
842,0
843,3
844,3
845,0
846,3
847,3
848,3
849,2
850,0
851,3
852,0
853,3
854,2
855,0
856,2
857,2
858,0
859,2
860,0
861,0
862,0
863,3
864,3
865,0
866,2
867,0
868,2
869,2
870,3
871,1
872,0
873,4
874,0
875,0
876,2
877,3
878,3
879,0
880,0
881,0
882,4
883,0
884,0
885,0
886,2
887,3
888,0
889,5
890,0
891,5
892,0
893,1
894,0
895,1
896,0
897,0
898,1
899,1
900,3
901,0
902,1
903,0
904,0
905,5
906,0
907,0
908,1
909,0
910,3
911,1
912,5
913,3
914,1
915,0
916,3
917,0
918,4
919,2
920,2
921,0
922,0
923,4
924,0
925,0
926,2
927,2
928,3
929,0
930,2
931,0
932,0
933,2
934,0
935,1
936,0
937,5
938,0
939,1
940,0
941,0
942,0
943,0
944,4
945,0
946,0
947,0
948,6
949,2
950,0
951,0
952,5
953,5
954,4
955,1
956,1
957,1
958,2
959,0
960,0
961,2
962,0
963,0
964,2
965,4
966,2
967,5
968,0
969,0
970,0
971,4
972,1
973,4
974,1
975,0
976,3
977,3
978,0
979,1
980,2
981,5
982,0
983,0
984,1
985,1
986,0
987,0
988,2
989,0
990,4
991,0
992,3
993,5
994,3
995,3
996,2
997,0
998,0
999,2
1000,1
1001,1
1002,3
1003,1
1004,1
1005,0
1006,0
1007,0
1008,3
1009,2
1010,0
1011,0
1012,0
1013,0
1014,1
1015,0
1016,0
1017,4
1018,0
1019,3
1020,1
1021,1
1022,0
1023,1
1024,2
1025,0
1026,0
1027,1
1028,0
1029,4
1030,1
1031,1
1032,0
1033,0
1034,2
1035,2
1036,1
1037,0
1038,1
1039,2
1040,0
1041,0
1042,0
1043,0
1044,3
1045,2
1046,1
1047,0
1048,4
1049,2
1050,0
1051,1
1052,1
1053,1
1054,2
1055,4
1056,1
1057,0
1058,2
1059,0
1060,1
1061,1
1062,0
1063,2
1064,0
1065,0
1066,2
1067,0
1068,2
1069,1
1070,3
1071,4
1072,0
1073,1
1074,0
1075,3
1076,0
1077,4
1078,1
1079,3
1080,2
1081,1
1082,1
1083,0
1084,0
1085,2
1086,3
1087,1
1088,0
1089,0
1090,0
1091,1
1092,3
1093,0
1094,0
1095,0
1096,2
1097,2
1098,0
1099,4
1100,0
1101,4
1102,5
1103,4
1104,0
1105,0
1106,1
1107,0
1108,3
1109,0
1110,2
1111,1
1112,0
1113,2
1114,4
1115,0
1116,2
1117,1
1118,1
1119,4
1120,0
1121,3
1122,0
1123,3
1124,2
1125,2
1126,1
1127,0
1128,0
1129,2
1130,5
1131,5
1132,0
1133,0
1134,0
1135,0
1136,0
1137,0
1138,0
1139,0
1140,3
1141,1
1142,3
1143,0
1144,1
1145,3
1146,3
1147,0
1148,0
1149,0
1150,0
1151,1
1152,2
1153,0
1154,3
1155,1
1156,3
1157,5
1158,1
1159,2
1160,0
1161,4
1162,1
1163,3
1164,2
1165,4
1166,0
1167,1
1168,0
1169,3
1170,0
1171,0
1172,6
1173,3
1174,2
1175,0
1176,0
1177,0
1178,2
1179,0
1180,0
1181,0
1182,0
1183,2
1184,0
1185,1
1186,3
1187,0
1188,4
1189,0
1190,4
1191,0
1192,1
1193,0
1194,0
1195,0
1196,0
1197,2
1198,2
1199,5
1200,6
1201,0
1202,0
1203,2
1204,0
1205,1
1206,1
1207,2
1208,0
1209,0
1210,0
1211,0
1212,1
1213,0
1214,0
1215,3
1216,1
1217,0
1218,0
1219,3
1220,0
1221,2
1222,0
1223,5
1224,0
1225,0
1226,1
1227,0
1228,1
1229,3
1230,0
1231,4
1232,0
1233,1
1234,0
